Model_ID,Batch_Size,Seq_Length,Offset,D_Model,N_Head,FF_Dim,Num_Layers,Kernel_Size,Model_File,Log_File,Test_Accuracy
bdd0fc70-6802-42a1-b530-1b6168554795,6,14,1,16,2,16,2,1,model_bdd0fc70-6802-42a1-b530-1b6168554795.pt,training_log_bdd0fc70-6802-42a1-b530-1b6168554795.txt,0.89
179f11fc-11b1-4c71-a912-4cb38d1166d3,6,14,1,16,2,16,2,3,model_179f11fc-11b1-4c71-a912-4cb38d1166d3.pt,training_log_179f11fc-11b1-4c71-a912-4cb38d1166d3.txt,0.82
5f6bcc8f-d200-4142-9196-f7deaccd8499,6,14,1,16,2,16,3,1,model_5f6bcc8f-d200-4142-9196-f7deaccd8499.pt,training_log_5f6bcc8f-d200-4142-9196-f7deaccd8499.txt,0.79
9082eb59-f2d7-4b1e-a321-db511b89b371,6,14,1,16,2,16,3,3,model_9082eb59-f2d7-4b1e-a321-db511b89b371.pt,training_log_9082eb59-f2d7-4b1e-a321-db511b89b371.txt,0.8
e74efc20-7ec3-430e-994f-59d2ad058264,6,14,1,16,2,32,2,1,model_e74efc20-7ec3-430e-994f-59d2ad058264.pt,training_log_e74efc20-7ec3-430e-994f-59d2ad058264.txt,0.85
3f261014-77d2-48b9-b796-b63ccecb211d,6,14,1,16,2,32,2,3,model_3f261014-77d2-48b9-b796-b63ccecb211d.pt,training_log_3f261014-77d2-48b9-b796-b63ccecb211d.txt,0.81
5f47c59d-64ab-47ae-bd8c-7b1040fc099e,6,14,1,16,2,32,3,1,model_5f47c59d-64ab-47ae-bd8c-7b1040fc099e.pt,training_log_5f47c59d-64ab-47ae-bd8c-7b1040fc099e.txt,0.81
f12bda3e-9e03-4d50-af31-0508f154f429,6,14,1,16,2,32,3,3,model_f12bda3e-9e03-4d50-af31-0508f154f429.pt,training_log_f12bda3e-9e03-4d50-af31-0508f154f429.txt,0.82
87495f42-4d9a-4144-9549-49521f1fa8db,6,14,1,16,4,16,2,1,model_87495f42-4d9a-4144-9549-49521f1fa8db.pt,training_log_87495f42-4d9a-4144-9549-49521f1fa8db.txt,0.86
02b35314-cc8c-4fb9-8dd2-90ddbc343d9c,6,14,1,16,4,16,2,3,model_02b35314-cc8c-4fb9-8dd2-90ddbc343d9c.pt,training_log_02b35314-cc8c-4fb9-8dd2-90ddbc343d9c.txt,0.82
