Model_ID,Batch_Size,Seq_Length,Offset,D_Model,N_Head,FF_Dim,Num_Layers,Kernel_Size,Model_File,Log_File,Test_Accuracy
12657d22-9eb2-42a2-8b33-beaab7756e28,6,14,1,16,2,16,2,1,model_12657d22-9eb2-42a2-8b33-beaab7756e28.pt,training_log_12657d22-9eb2-42a2-8b33-beaab7756e28.txt,0.7452830188679245
67c9eb7d-9d24-4f97-be0b-f38b070c63f5,6,14,1,16,2,16,2,3,model_67c9eb7d-9d24-4f97-be0b-f38b070c63f5.pt,training_log_67c9eb7d-9d24-4f97-be0b-f38b070c63f5.txt,0.7169811320754716
44c3996a-5f04-4943-bfcc-407c0f9b368e,6,14,1,16,2,16,3,1,model_44c3996a-5f04-4943-bfcc-407c0f9b368e.pt,training_log_44c3996a-5f04-4943-bfcc-407c0f9b368e.txt,0.7641509433962265
8da64ec7-f231-4e48-9eef-f8fa43a5207b,6,14,1,16,2,16,3,3,model_8da64ec7-f231-4e48-9eef-f8fa43a5207b.pt,training_log_8da64ec7-f231-4e48-9eef-f8fa43a5207b.txt,0.7452830188679245
85e189d7-8077-4546-b90e-3e7e1431cb9b,6,14,1,16,2,32,2,1,model_85e189d7-8077-4546-b90e-3e7e1431cb9b.pt,training_log_85e189d7-8077-4546-b90e-3e7e1431cb9b.txt,0.7264150943396226
52374577-007a-4919-839f-86bc3bbdb8e9,6,14,1,16,2,32,2,3,model_52374577-007a-4919-839f-86bc3bbdb8e9.pt,training_log_52374577-007a-4919-839f-86bc3bbdb8e9.txt,0.7641509433962265
f560b4c6-e0ce-4f54-bdbf-56fa060e3c21,6,14,1,16,2,32,3,1,model_f560b4c6-e0ce-4f54-bdbf-56fa060e3c21.pt,training_log_f560b4c6-e0ce-4f54-bdbf-56fa060e3c21.txt,0.7452830188679245
8e6117ad-9b2d-49c1-82bd-a0751e3e7f66,6,14,1,16,2,32,3,3,model_8e6117ad-9b2d-49c1-82bd-a0751e3e7f66.pt,training_log_8e6117ad-9b2d-49c1-82bd-a0751e3e7f66.txt,0.7641509433962265
727c616a-11e6-46fb-86a0-25ba6f82210f,6,14,1,16,4,16,2,1,model_727c616a-11e6-46fb-86a0-25ba6f82210f.pt,training_log_727c616a-11e6-46fb-86a0-25ba6f82210f.txt,0.7547169811320755
d7db06a4-b0ff-40d6-b013-5807acc4bd05,6,14,1,16,4,16,2,3,model_d7db06a4-b0ff-40d6-b013-5807acc4bd05.pt,training_log_d7db06a4-b0ff-40d6-b013-5807acc4bd05.txt,0.7735849056603774
fae36bdb-2cc5-493f-9d06-bd8694392116,6,14,1,16,4,16,3,1,model_fae36bdb-2cc5-493f-9d06-bd8694392116.pt,training_log_fae36bdb-2cc5-493f-9d06-bd8694392116.txt,0.7830188679245284
5e0097af-2d7d-4a65-b464-955cc6f5e67a,6,14,1,16,4,16,3,3,model_5e0097af-2d7d-4a65-b464-955cc6f5e67a.pt,training_log_5e0097af-2d7d-4a65-b464-955cc6f5e67a.txt,0.7169811320754716
a0649ae7-3131-4c65-ac6b-64c56b87290f,6,14,1,16,4,32,2,1,model_a0649ae7-3131-4c65-ac6b-64c56b87290f.pt,training_log_a0649ae7-3131-4c65-ac6b-64c56b87290f.txt,0.7547169811320755
92b44056-859a-4145-9db1-4260e1f9576b,6,14,1,16,4,32,2,3,model_92b44056-859a-4145-9db1-4260e1f9576b.pt,training_log_92b44056-859a-4145-9db1-4260e1f9576b.txt,0.7641509433962265
34cce72d-305d-4844-8ec0-cd2c0a283fdd,6,14,1,16,4,32,3,1,model_34cce72d-305d-4844-8ec0-cd2c0a283fdd.pt,training_log_34cce72d-305d-4844-8ec0-cd2c0a283fdd.txt,0.7358490566037735
c05c419f-ed8a-4fe0-aaa0-1ee039bd7896,6,14,1,16,4,32,3,3,model_c05c419f-ed8a-4fe0-aaa0-1ee039bd7896.pt,training_log_c05c419f-ed8a-4fe0-aaa0-1ee039bd7896.txt,0.7830188679245284
a786d955-77ec-4522-8eb5-631efdcbdc7b,6,14,1,32,2,32,2,1,model_a786d955-77ec-4522-8eb5-631efdcbdc7b.pt,training_log_a786d955-77ec-4522-8eb5-631efdcbdc7b.txt,0.7641509433962265
726b848a-33ee-416c-91ce-a7245c643cde,6,14,1,32,2,32,2,3,model_726b848a-33ee-416c-91ce-a7245c643cde.pt,training_log_726b848a-33ee-416c-91ce-a7245c643cde.txt,0.6698113207547169
6bc373da-79e4-4766-abac-a8cef0043ffc,6,14,1,32,2,32,3,1,model_6bc373da-79e4-4766-abac-a8cef0043ffc.pt,training_log_6bc373da-79e4-4766-abac-a8cef0043ffc.txt,0.7830188679245284
0c43e088-fa85-4e82-a9c3-9a39c7ce0f65,6,14,1,32,2,32,3,3,model_0c43e088-fa85-4e82-a9c3-9a39c7ce0f65.pt,training_log_0c43e088-fa85-4e82-a9c3-9a39c7ce0f65.txt,0.7547169811320755
30e7def9-c427-4b4e-90ad-bddf4f4057f8,6,14,1,32,4,32,2,1,model_30e7def9-c427-4b4e-90ad-bddf4f4057f8.pt,training_log_30e7def9-c427-4b4e-90ad-bddf4f4057f8.txt,0.6886792452830188
d2033b64-ee29-42a6-b030-4c2ebf552c2a,6,14,1,32,4,32,2,3,model_d2033b64-ee29-42a6-b030-4c2ebf552c2a.pt,training_log_d2033b64-ee29-42a6-b030-4c2ebf552c2a.txt,0.7452830188679245
