Model_ID,Batch_Size,Seq_Length,Offset,D_Model,N_Head,FF_Dim,Num_Layers,Kernel_Size,Model_File,Log_File,Test_Accuracy
d04c142a-c97c-4e0d-87a9-3de036d032f8,6,14,2,16,2,16,3,1,model_d04c142a-c97c-4e0d-87a9-3de036d032f8.pt,training_log_d04c142a-c97c-4e0d-87a9-3de036d032f8.txt,0.9027777777777778
716acd54-d8a6-490e-8410-c5d01de66807,6,14,2,16,2,16,3,3,model_716acd54-d8a6-490e-8410-c5d01de66807.pt,training_log_716acd54-d8a6-490e-8410-c5d01de66807.txt,0.9166666666666666
c693835c-7975-4853-93f6-9fe9fc2b1200,6,14,2,16,2,32,2,1,model_c693835c-7975-4853-93f6-9fe9fc2b1200.pt,training_log_c693835c-7975-4853-93f6-9fe9fc2b1200.txt,0.9027777777777778
07b19ec7-7df9-4fdd-873f-7d700503732e,6,14,2,16,2,32,2,3,model_07b19ec7-7df9-4fdd-873f-7d700503732e.pt,training_log_07b19ec7-7df9-4fdd-873f-7d700503732e.txt,0.9444444444444444
296ff2ae-6e4a-43e7-ba89-4ccb77c95369,6,14,2,16,2,32,3,1,model_296ff2ae-6e4a-43e7-ba89-4ccb77c95369.pt,training_log_296ff2ae-6e4a-43e7-ba89-4ccb77c95369.txt,0.9027777777777778
e7c6f9e0-460a-49d8-954b-da085ce2adbe,6,14,2,16,2,32,3,3,model_e7c6f9e0-460a-49d8-954b-da085ce2adbe.pt,training_log_e7c6f9e0-460a-49d8-954b-da085ce2adbe.txt,0.9305555555555556
03ae7cb8-aff5-4495-bca8-a6a740d5ac9d,6,14,2,16,4,16,2,1,model_03ae7cb8-aff5-4495-bca8-a6a740d5ac9d.pt,training_log_03ae7cb8-aff5-4495-bca8-a6a740d5ac9d.txt,0.9305555555555556
3345ac08-5a5e-46e6-adca-98e9d628bb6a,6,14,2,16,4,16,2,3,model_3345ac08-5a5e-46e6-adca-98e9d628bb6a.pt,training_log_3345ac08-5a5e-46e6-adca-98e9d628bb6a.txt,0.9166666666666666
81185c33-2566-4904-a1eb-112fabeda042,6,14,2,16,4,16,3,1,model_81185c33-2566-4904-a1eb-112fabeda042.pt,training_log_81185c33-2566-4904-a1eb-112fabeda042.txt,0.8333333333333334
e9ebb25a-d7d2-4fc2-82c3-8ddad3540a49,6,14,2,16,4,16,3,3,model_e9ebb25a-d7d2-4fc2-82c3-8ddad3540a49.pt,training_log_e9ebb25a-d7d2-4fc2-82c3-8ddad3540a49.txt,0.9166666666666666
a6070ee6-6222-4e94-8129-a909304f7a82,6,14,2,16,4,32,2,1,model_a6070ee6-6222-4e94-8129-a909304f7a82.pt,training_log_a6070ee6-6222-4e94-8129-a909304f7a82.txt,0.9166666666666666
1eaf69cd-0708-4de3-98ef-8cf7f44dce72,6,14,2,16,4,32,2,3,model_1eaf69cd-0708-4de3-98ef-8cf7f44dce72.pt,training_log_1eaf69cd-0708-4de3-98ef-8cf7f44dce72.txt,0.9166666666666666
d9b6e9b3-c06a-4e2f-875b-8f6b3c582843,6,14,2,16,4,32,3,1,model_d9b6e9b3-c06a-4e2f-875b-8f6b3c582843.pt,training_log_d9b6e9b3-c06a-4e2f-875b-8f6b3c582843.txt,0.8888888888888888
baf8f0c5-b71b-4055-acf2-32e7f9805ed8,6,14,2,16,4,32,3,3,model_baf8f0c5-b71b-4055-acf2-32e7f9805ed8.pt,training_log_baf8f0c5-b71b-4055-acf2-32e7f9805ed8.txt,0.8888888888888888
2ca57910-836d-4d6d-94c5-8b12aa9e1fb7,6,14,2,32,2,32,2,1,model_2ca57910-836d-4d6d-94c5-8b12aa9e1fb7.pt,training_log_2ca57910-836d-4d6d-94c5-8b12aa9e1fb7.txt,0.9305555555555556
8b98743c-f34c-49e0-ac97-ff9b1d29b884,6,14,2,32,2,32,2,3,model_8b98743c-f34c-49e0-ac97-ff9b1d29b884.pt,training_log_8b98743c-f34c-49e0-ac97-ff9b1d29b884.txt,0.9305555555555556
9d775abc-abfa-46e3-8517-968948788738,6,14,2,32,2,32,3,1,model_9d775abc-abfa-46e3-8517-968948788738.pt,training_log_9d775abc-abfa-46e3-8517-968948788738.txt,0.9444444444444444
84a99aea-9855-4487-9710-8adc16339e3f,6,14,2,32,2,32,3,3,model_84a99aea-9855-4487-9710-8adc16339e3f.pt,training_log_84a99aea-9855-4487-9710-8adc16339e3f.txt,0.9027777777777778
af6665b1-8fbd-43cb-8095-367e1c555bc7,6,14,2,32,4,32,2,1,model_af6665b1-8fbd-43cb-8095-367e1c555bc7.pt,training_log_af6665b1-8fbd-43cb-8095-367e1c555bc7.txt,0.9027777777777778
5def9d78-b6c9-46e2-a5b7-acabb35d1dff,6,14,2,32,4,32,2,3,model_5def9d78-b6c9-46e2-a5b7-acabb35d1dff.pt,training_log_5def9d78-b6c9-46e2-a5b7-acabb35d1dff.txt,0.9305555555555556
5672b88b-3d02-4b2d-a8e2-eea5e63d8202,6,14,2,32,4,32,3,1,model_5672b88b-3d02-4b2d-a8e2-eea5e63d8202.pt,training_log_5672b88b-3d02-4b2d-a8e2-eea5e63d8202.txt,0.9305555555555556
f6222a3c-96c4-49f8-b777-cdff1999d6be,6,14,2,32,4,32,3,3,model_f6222a3c-96c4-49f8-b777-cdff1999d6be.pt,training_log_f6222a3c-96c4-49f8-b777-cdff1999d6be.txt,0.9166666666666666
